Frame,Progress,VisibleTiles,RenderableTiles,MissingCount
407,0.07886,42,38,0
408,0.07903,44,40,4
409,0.07920,44,40,2
410,0.07936,46,39,4
411,0.07953,45,38,0
412,0.07971,44,37,0
413,0.07988,44,37,0
414,0.08005,46,36,4
415,0.08022,45,36,0
416,0.08039,45,36,0
417,0.08056,45,1,1
418,0.08073,44,1,0
419,0.08090,43,1,0
420,0.08107,42,1,0
421,0.08124,48,1,9
422,0.08141,48,1,0
423,0.08158,49,1,2
424,0.08175,47,1,0
425,0.08192,46,1,0
426,0.08209,46,1,0
427,0.08226,45,1,0
428,0.08243,45,1,1
429,0.08260,45,1,0
430,0.08277,44,1,0
431,0.08294,44,1,0
432,0.08311,43,1,0
433,0.08328,46,1,4
434,0.08345,44,1,2
435,0.08362,44,1,0
436,0.08379,42,1,0
437,0.08396,44,1,4
438,0.08412,47,1,4
439,0.08429,47,1,0
440,0.08446,45,1,0
441,0.08463,45,1,0
442,0.08480,42,1,0
443,0.08497,41,1,0
444,0.08514,41,1,0
445,0.08531,40,1,0
446,0.08548,41,1,4
447,0.08565,44,1,6
448,0.08583,44,1,1
449,0.08600,44,1,0
450,0.08617,43,1,0
451,0.08634,44,32,1
452,0.08651,44,32,0
453,0.08668,43,31,1
454,0.08685,43,31,0
455,0.08702,43,31,0
456,0.08719,43,31,0
457,0.08736,41,34,0
458,0.08753,40,33,0
459,0.08770,40,33,0
460,0.08787,40,33,0
461,0.08804,40,37,0
462,0.08821,40,37,1
463,0.08838,40,37,0
464,0.08855,39,37,0
465,0.08872,39,37,0
466,0.08889,39,39,0
467,0.08906,39,39,0
468,0.08923,40,37,4
469,0.08939,40,37,0
470,0.08956,40,37,0
471,0.08973,40,36,2
472,0.08990,40,36,0
473,0.09007,40,36,0
474,0.09025,43,36,4
475,0.09042,43,1,1
476,0.09059,43,1,0
477,0.09076,41,1,0
478,0.09093,40,1,0
479,0.09110,41,1,1
480,0.09127,41,1,0
481,0.09144,41,1,0
482,0.09161,40,1,0
483,0.09178,40,1,0
484,0.09195,40,40,0
485,0.09212,39,39,0
486,0.09229,38,38,0
487,0.09246,39,1,1
488,0.09263,38,1,0
489,0.09280,37,1,0
490,0.09297,37,1,0
491,0.09313,37,37,0
492,0.09330,36,36,0
493,0.09347,36,36,0
494,0.09365,38,35,4
495,0.09381,38,33,3
496,0.09398,38,33,0
497,0.09415,40,33,4
498,0.09433,40,36,0
499,0.09450,39,36,0
500,0.09466,39,36,0
501,0.09483,40,31,1
502,0.09500,40,31,0
503,0.09517,41,1,2
504,0.09534,41,1,0
505,0.09551,42,1,1
506,0.09568,40,1,0
507,0.09585,40,1,0
