case_id,lat,lon,alt,pitch,yaw,roll,rendered,hit,false_positives,false_negatives
6230,-77.922874,67.09906,3.5838945,54.254776,66.524345,24.0495,10,10,0,0
6231,77.50319,46.574356,6.8932343,14.284279,196.49493,-142.25748,0,0,0,0
6232,16.614975,-46.527313,3.2141764,-41.217194,155.67421,-167.28918,0,0,0,0
6233,-83.056526,-17.818115,4.867725,-1.3235397,183.4293,97.918396,0,0,0,0
6234,-61.099,65.836716,6.297113,60.231644,167.65773,-168.40305,13,12,1,0
6235,64.325455,-148.26654,6.371411,70.60141,138.09465,92.56268,0,0,0,0
6236,70.641235,146.12766,3.721499,-20.332664,77.99009,1.2771454,0,0,0,0
6237,56.983154,-57.31304,5.3318176,86.699814,98.25259,116.40964,0,0,0,0
6238,38.249084,132.50482,6.589788,-42.667664,159.4449,9.414856,5,5,0,0
6239,-82.412415,-134.34958,2.0201957,-53.713215,85.494286,-0.16348267,0,0,0,0
6240,62.915527,167.23825,0.629107,-89.55297,31.14359,-89.820526,18,16,2,0
6241,-30.680618,137.44604,3.7760105,81.506714,305.52115,-56.236748,5,5,0,0
6242,82.25156,-82.70748,7.408906,-6.234871,239.2463,94.47818,0,0,0,0
6243,46.910767,-87.19304,9.959945,-33.038887,74.71461,76.31024,0,0,0,0
6244,72.72165,171.98022,2.8339996,72.570526,221.11942,125.3833,0,0,0,0
6245,-60.974724,-5.918213,7.8541684,0.996315,349.87018,-129.4111,0,0,0,0
6246,-55.41295,52.06131,5.8817515,62.80301,274.85455,143.1297,0,0,0,0
6247,49.944138,178.32202,8.728619,-84.160934,67.9702,72.999985,6,5,1,0
6248,-26.42255,174.66248,3.0521464,78.00038,126.01415,-25.942215,4,4,0,0
6249,-48.97188,-108.872604,5.792056,58.767166,352.871,161.4147,12,9,3,0
6250,56.01004,-111.60808,6.4995027,87.74455,93.478714,167.87662,0,0,0,0
6251,14.923393,-13.376343,8.246624,51.50276,135.77885,-77.38621,0,0,0,0
6252,26.574577,-176.97571,6.314579,-82.701035,146.2705,-82.377525,0,0,0,0
