Frame,Progress,VisibleTiles,DisplayedTiles,TextureChanges,FastFlickers
303,0.06116,48,48,0,0
304,0.06133,47,47,0,0
305,0.06150,48,48,0,0
306,0.06167,47,47,4,0
307,0.06184,47,47,0,0
308,0.06201,46,46,0,0
309,0.06218,48,48,0,0
310,0.06235,48,48,0,0
311,0.06252,46,46,0,0
312,0.06269,46,46,0,0
313,0.06286,44,44,7,0
314,0.06303,47,47,0,0
315,0.06320,47,47,0,0
316,0.06337,47,47,1,0
317,0.06354,52,52,0,0
318,0.06371,49,49,0,0
319,0.06388,49,49,4,4
320,0.06405,53,53,0,0
321,0.06422,51,51,0,0
322,0.06439,49,49,0,0
323,0.06456,52,52,0,0
324,0.06473,50,50,0,0
325,0.06490,50,50,0,0
326,0.06507,49,49,0,0
327,0.06524,48,48,8,0
328,0.06542,47,47,0,0
329,0.06558,46,46,0,0
330,0.06575,48,48,0,0
331,0.06592,50,50,0,0
332,0.06609,49,49,0,0
333,0.06626,48,48,0,0
334,0.06643,47,47,7,7
335,0.06660,44,44,0,0
336,0.06677,44,44,0,0
337,0.06694,43,43,0,0
338,0.06711,43,43,0,0
339,0.06728,46,46,0,0
340,0.06745,44,44,0,0
341,0.06762,43,43,0,0
342,0.06779,44,44,0,0
343,0.06796,42,42,2,2
344,0.06813,47,47,0,0
345,0.06830,45,45,0,0
346,0.06847,44,44,0,0
347,0.06864,47,47,0,0
348,0.06881,47,47,0,0
349,0.06898,48,48,0,0
350,0.06915,47,47,4,0
351,0.06932,46,46,1,0
352,0.06949,47,47,0,0
353,0.06966,46,46,8,1
354,0.06983,45,45,0,0
355,0.07000,45,45,0,0
356,0.07017,43,43,2,2
357,0.07034,46,46,0,0
358,0.07051,46,46,0,0
359,0.07068,49,49,0,0
360,0.07085,47,47,4,4
361,0.07102,48,48,0,0
362,0.07119,47,47,0,0
363,0.07136,43,43,0,0
364,0.07153,46,46,4,4
365,0.07170,43,43,0,0
366,0.07187,42,42,0,0
367,0.07204,41,41,0,0
368,0.07221,40,40,2,2
369,0.07238,40,40,0,0
370,0.07255,42,42,0,0
371,0.07272,47,47,0,0
372,0.07289,47,47,0,0
373,0.07306,45,45,4,4
374,0.07323,43,43,4,4
375,0.07340,42,42,0,0
376,0.07357,41,41,0,0
377,0.07374,41,41,1,0
378,0.07391,42,42,0,0
379,0.07408,43,43,0,0
380,0.07425,41,41,0,0
381,0.07441,41,41,0,0
382,0.07458,39,39,2,2
383,0.07475,42,42,1,0
384,0.07492,44,44,0,0
385,0.07509,43,43,0,0
386,0.07526,42,42,0,0
387,0.07543,42,42,4,4
388,0.07560,42,42,0,0
389,0.07577,41,41,0,0
390,0.07594,41,41,0,0
391,0.07611,42,42,0,0
392,0.07628,41,41,0,0
393,0.07645,40,40,0,0
394,0.07662,39,39,0,0
395,0.07679,39,39,0,0
396,0.07696,38,38,0,0
397,0.07713,38,38,0,0
398,0.07730,41,41,0,0
399,0.07747,43,43,0,0
400,0.07764,43,43,0,0
401,0.07781,42,42,0,0
402,0.07798,42,42,4,4
403,0.07815,41,41,0,0
404,0.07832,44,44,0,0
405,0.07849,44,44,0,0
406,0.07866,43,43,4,0
407,0.07883,42,42,0,0
408,0.07900,44,44,0,0
409,0.07917,44,44,4,4
410,0.07934,46,46,0,0
411,0.07951,45,45,0,0
412,0.07968,44,44,4,4
413,0.07985,44,44,0,0
414,0.08002,47,47,0,0
415,0.08019,45,45,4,4
416,0.08036,45,45,0,0
417,0.08053,46,46,0,0
418,0.08070,44,44,0,0
419,0.08087,43,43,4,4
420,0.08104,43,43,0,0
421,0.08121,48,48,0,0
422,0.08138,48,48,0,0
423,0.08155,49,49,0,0
424,0.08172,47,47,0,0
425,0.08189,47,47,8,8
426,0.08206,46,46,0,0
427,0.08223,45,45,0,0
428,0.08240,45,45,0,0
429,0.08257,45,45,0,0
430,0.08274,44,44,0,0
431,0.08291,44,44,0,0
432,0.08308,43,43,0,0
433,0.08325,43,43,0,0
434,0.08342,44,44,0,0
435,0.08359,44,44,0,0
436,0.08375,42,42,0,0
437,0.08392,44,44,3,3
438,0.08409,47,47,0,0
439,0.08426,47,47,0,0
440,0.08443,45,45,3,3
441,0.08460,45,45,0,0
442,0.08477,42,42,4,4
443,0.08494,42,42,0,0
444,0.08511,41,41,0,0
445,0.08528,41,41,0,0
446,0.08545,41,41,0,0
447,0.08562,44,44,0,0
448,0.08579,44,44,0,0
449,0.08596,44,44,4,4
450,0.08613,43,43,0,0
451,0.08630,43,43,0,0
452,0.08647,44,44,4,4
453,0.08664,44,44,0,0
454,0.08681,43,43,0,0
455,0.08698,43,43,0,0
456,0.08715,43,43,0,0
457,0.08731,41,41,0,0
458,0.08748,41,41,0,0
459,0.08765,40,40,0,0
460,0.08782,40,40,0,0
461,0.08799,40,40,0,0
462,0.08816,40,40,0,0
463,0.08833,40,40,0,0
464,0.08850,40,40,0,0
465,0.08867,39,39,0,0
466,0.08884,39,39,0,0
467,0.08901,39,39,0,0
468,0.08918,41,41,0,0
469,0.08935,40,40,0,0
470,0.08952,40,40,0,0
471,0.08969,39,39,4,4
472,0.08986,40,40,0,0
473,0.09003,40,40,0,0
474,0.09020,40,40,0,0
475,0.09037,43,43,0,0
476,0.09054,43,43,0,0
477,0.09071,41,41,0,0
478,0.09088,40,40,4,4
479,0.09105,40,40,0,0
480,0.09122,41,41,0,0
481,0.09139,41,41,0,0
482,0.09155,40,40,0,0
483,0.09172,40,40,2,1
484,0.09189,40,40,0,0
485,0.09206,40,40,0,0
486,0.09223,39,39,0,0
487,0.09240,39,39,0,0
488,0.09257,38,38,0,0
489,0.09274,37,37,0,0
490,0.09291,37,37,0,0
491,0.09308,37,37,0,0
492,0.09325,37,37,0,0
493,0.09342,36,36,0,0
494,0.09359,35,35,0,0
495,0.09376,36,36,0,0
496,0.09393,38,38,0,0
497,0.09410,40,40,0,0
498,0.09427,40,40,0,0
499,0.09444,39,39,4,4
500,0.09461,39,39,0,0
501,0.09478,39,39,4,4
502,0.09495,40,40,0,0
503,0.09512,40,40,0,0
504,0.09529,41,41,0,0
505,0.09546,41,41,0,0
506,0.09563,40,40,0,0
507,0.09580,40,40,0,0
