sweep_type,param_value,lat,lon,alt,pitch,yaw,roll,rendered,hit,false_positives,false_negatives
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,-36,18,12,6,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,-18,17,12,5,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,0,14,10,4,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,18,17,12,5,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,36.000015,18,12,6,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,53.999985,16,11,5,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,72,13,10,3,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,90,10,8,2,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,108,13,10,3,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,126,16,11,5,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,144,18,13,5,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,162,17,14,3,0
Combined_Pitch_Roll,-81,0,0,0.1,-81,0,180,14,10,4,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-180,18,14,4,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-162,17,14,3,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-144,18,13,5,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-126,17,12,5,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-108,14,10,4,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-90,10,8,2,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-71.99999,14,10,4,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-54,17,12,5,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-36,18,13,5,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,-18,17,13,4,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,0,18,14,4,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,18,17,13,4,0
Combined_Pitch_Roll,-76.5,0,0,0.1,-76.5,0,36.000015,18,13,5,0
